time,frequency,power interpolated
11:36:40.412,49.78550658,270.5154639
11:36:40.450,49.78540596,270.8453608
11:36:40.486,49.78530229,271.1752577
11:36:40.524,49.78520103,271.5051546
11:36:40.561,49.7850967,271.8350515
11:36:40.598,49.78499479,272.1649485
11:36:40.636,49.78489256,272.4948454
11:36:40.673,49.78478723,272.8247423
11:36:40.709,49.78468714,273.1546392
11:36:40.746,49.78458396,273.4845361
11:36:40.782,49.78448326,273.814433
11:36:40.818,49.78438225,274.1443299
11:36:40.854,49.78428095,274.4742268
11:36:40.890,49.78417935,274.8041237
11:36:40.926,49.78407745,275.1340206
11:36:40.963,49.78397241,275.4639175
11:36:40.999,49.78386991,275.7938144
11:36:41.038,49.78376711,276.1237113
11:36:41.072,49.78366401,276.4536082
11:36:41.107,49.78356061,276.7835052
11:36:41.143,49.7834598,277.1134021
11:36:41.178,49.78335871,277.443299
11:36:41.213,49.78325444,277.7731959
11:36:41.249,49.78314987,278.1030928
11:36:41.285,49.78304501,278.4329897
11:36:41.321,49.78293985,278.7628866
11:36:41.357,49.7828344,279.0927835
11:36:41.393,49.78273159,279.4226804
11:36:41.426,49.78263146,279.7525773
11:36:41.461,49.78253107,280.0824742
11:36:41.495,49.78243041,280.4123711
11:36:41.528,49.78232949,280.742268
11:36:41.563,49.78222831,281.0721649
11:36:41.597,49.78212687,281.4020619
11:36:41.630,49.78202517,281.7319588
11:36:41.665,49.78192321,282.0618557
11:36:41.699,49.78182099,282.3917526
11:36:41.732,49.78171851,282.7216495
11:36:41.767,49.78161578,283.0515464
11:36:41.801,49.78150975,283.3814433
11:36:41.834,49.78140952,283.7113402
11:36:41.867,49.78130906,284.0412371
11:36:41.901,49.78120835,284.371134
11:36:41.933,49.7811074,284.7010309
11:36:41.966,49.78100621,285.0309278
11:36:41.999,49.78090478,285.3608247
11:36:42.037,49.7808031,285.6907216
11:36:42.065,49.78070118,286.0206186
11:36:42.098,49.78059903,286.3505155
11:36:42.132,49.78049663,286.6804124
11:36:42.165,49.78039399,287.0103093
11:36:42.198,49.78029111,287.3402062
11:36:42.231,49.78018799,287.6701031
11:36:42.262,49.78008777,288
11:36:42.295,49.77998418,288.3298969
11:36:42.328,49.77988035,288.6597938
11:36:42.361,49.77977629,288.9896907
11:36:42.394,49.77967198,289.3195876
11:36:42.426,49.77957061,289.6494845
11:36:42.459,49.77946584,289.9793814
11:36:42.492,49.77936083,290.3092784
11:36:42.525,49.77925558,290.6391753
11:36:42.558,49.7791501,290.9690722
11:36:42.591,49.77904437,291.2989691
11:36:42.624,49.77893842,291.628866
11:36:42.657,49.77883223,291.9587629
11:36:42.690,49.7787258,292.2886598
11:36:42.722,49.77862561,292.6185567
11:36:42.752,49.77852521,292.9484536
11:36:42.784,49.7784246,293.2783505
11:36:42.815,49.77832054,293.6082474
11:36:42.847,49.77821951,293.9381443
11:36:42.877,49.77811828,294.2680412
11:36:42.909,49.77801684,294.5979381
11:36:42.940,49.77791192,294.9278351
11:36:42.972,49.77781006,295.257732
11:36:43.016,49.77766515,295.5876289
11:36:43.047,49.7775628,295.9175258
11:36:43.078,49.77745693,296.2474227
11:36:43.110,49.77735417,296.5773196
11:36:43.140,49.7772512,296.9072165
11:36:43.172,49.77714802,297.2371134
11:36:43.202,49.77704799,297.5670103
11:36:43.232,49.77694441,297.8969072
11:36:43.263,49.77684399,298.2268041
11:36:43.292,49.77674338,298.556701
11:36:43.323,49.77664257,298.8865979
11:36:43.353,49.77654158,299.2164948
11:36:43.383,49.7764404,299.5463918
11:36:43.413,49.77633565,299.8762887
11:36:43.443,49.77623409,300.2061856
11:36:43.473,49.77613233,300.5360825
11:36:43.504,49.77603039,300.8659794
11:36:43.534,49.77592827,301.1958763
11:36:43.564,49.77582595,301.5257732
11:36:43.595,49.77572003,301.8556701
11:36:43.624,49.77561733,302.185567
11:36:43.655,49.77551445,302.5154639
11:36:43.685,49.77541138,302.8453608
11:36:43.715,49.77530813,303.1752577
11:36:43.745,49.77520469,303.5051546
11:36:43.774,49.77510452,303.8350515
11:36:43.803,49.77500418,304.1649485
11:36:43.831,49.77490367,304.4948454
11:36:43.861,49.7747995,304.8247423
11:36:43.890,49.77469864,305.1546392
11:36:43.920,49.77459411,305.4845361
11:36:43.950,49.77448941,305.814433
11:36:43.979,49.77438801,306.1443299
11:36:44.020,49.77424788,306.4742268
11:36:44.049,49.77414608,306.8041237
11:36:44.080,49.77404059,307.1340206
11:36:44.108,49.77393844,307.4639175
11:36:44.137,49.77383259,307.7938144
11:36:44.168,49.77372655,308.1237113
11:36:44.196,49.77362388,308.4536082
11:36:44.229,49.77351749,308.7835052
11:36:44.256,49.77341448,309.1134021
11:36:44.285,49.77330773,309.443299
11:36:44.316,49.7732008,309.7731959
11:36:44.344,49.77309727,310.1030928
11:36:44.373,49.77299714,310.4329897
11:36:44.400,49.77289686,310.7628866
11:36:44.429,49.77279642,311.0927835
11:36:44.456,49.77269583,311.4226804
11:36:44.485,49.77259508,311.7525773
11:36:44.514,49.77249417,312.0824742
11:36:44.541,49.77239311,312.4123711
11:36:44.568,49.77229189,312.742268
11:36:44.597,49.77219052,313.0721649
11:36:44.624,49.77208899,313.4020619
11:36:44.653,49.77198367,313.7319588
11:36:44.682,49.77188183,314.0618557
11:36:44.709,49.77177983,314.3917526
11:36:44.738,49.77167767,314.7216495
11:36:44.765,49.77157537,315.0515464
11:36:44.794,49.77147291,315.3814433
11:36:44.821,49.77137029,315.7113402
11:36:44.850,49.77126753,316.0412371
11:36:44.877,49.7711646,316.371134
11:36:44.906,49.77106153,316.7010309
11:36:44.933,49.7709583,317.0309278
11:36:44.962,49.77085492,317.3608247
11:36:44.989,49.77075139,317.6907216
11:36:45.021,49.7706403,318.0206186
11:36:45.047,49.77054016,318.3505155
11:36:45.074,49.77043989,318.6804124
11:36:45.101,49.77033575,319.0103093
11:36:45.129,49.77023519,319.3402062
11:36:45.156,49.77013448,319.6701031
11:36:45.183,49.7700299,320
11:36:45.211,49.76992891,320.2245614
11:36:45.238,49.76982779,320.4491228
11:36:45.265,49.76972277,320.6736842
11:36:45.292,49.76962135,320.8982456
11:36:45.320,49.7695198,321.122807
11:36:45.347,49.76941811,321.3473684
11:36:45.374,49.76931251,321.5719298
11:36:45.402,49.76921054,321.7964912
11:36:45.429,49.76910843,322.0210526
11:36:45.456,49.76900239,322.245614
11:36:45.484,49.7689,322.4701754
11:36:45.511,49.76879747,322.6947368
11:36:45.538,49.768691,322.9192982
11:36:45.565,49.76858819,323.1438596
11:36:45.593,49.76848524,323.3684211
11:36:45.620,49.76838216,323.5929825
11:36:45.647,49.76827511,323.8175439
11:36:45.675,49.76817175,324.0421053
11:36:45.702,49.76806825,324.2666667
11:36:45.729,49.76796078,324.4912281
11:36:45.757,49.767857,324.7157895
11:36:45.782,49.76775694,324.9403509
11:36:45.808,49.76765676,325.1649123
11:36:45.834,49.76755645,325.3894737
11:36:45.861,49.76745215,325.6140351
11:36:45.887,49.76735158,325.8385965
11:36:45.913,49.76725089,326.0631579
11:36:45.940,49.7671462,326.2877193
11:36:45.966,49.76704525,326.5122807
11:36:45.992,49.76694418,326.7368421
11:36:46.020,49.7668391,326.9614035
11:36:46.045,49.76673778,327.1859649
11:36:46.072,49.76663633,327.4105263
11:36:46.098,49.76653085,327.6350877
11:36:46.124,49.76642916,327.8596491
11:36:46.150,49.76632734,328.0842105
11:36:46.176,49.7662254,328.3087719
11:36:46.203,49.7661194,328.5333333
11:36:46.229,49.76601721,328.7578947
11:36:46.255,49.7659149,328.9824561
11:36:46.282,49.76580852,329.2070175
11:36:46.308,49.76570595,329.4315789
11:36:46.334,49.76560327,329.6561404
11:36:46.361,49.7654965,329.8807018
11:36:46.387,49.76539357,330.1052632
11:36:46.413,49.76529052,330.3298246
11:36:46.440,49.76518337,330.554386
11:36:46.466,49.76508007,330.7789474
11:36:46.492,49.76497665,331.0035088
11:36:46.519,49.76486912,331.2280702
11:36:46.545,49.76476546,331.4526316
11:36:46.571,49.76466167,331.677193
11:36:46.598,49.76455377,331.9017544
11:36:46.624,49.76444974,332.1263158
11:36:46.650,49.76434559,332.3508772
11:36:46.676,49.76424132,332.5754386
11:36:46.702,49.76414095,332.8
11:36:46.726,49.76404046,333.0245614
